Cluster	rep_name	Against/Function
Cluster_122	AcrIF10	CRISPR-Cas - Type I-F
Cluster_123	psib	SOS stress response
Cluster_124	AcrIF14	CRISPR-Cas - Type I-F
Cluster_125	AcrIIA12	CRISPR-Cas - Type II-A
Cluster_126	racc	Retron-Sen2
Cluster_127	ntase	CBASS/CRISPR-III
Cluster_128	AcrIC7	CRISPR-Cas - Type I-C, I-E
Cluster_129	AcrIF7	CRISPR-Cas - Type I-F
Cluster_130	AcrIIA17	CRISPR-Cas - Type II-A
Cluster_131	AcrIB1	CRISPR-Cas - Type I-B
Cluster_132	AcrVA1	CRISPR-Cas - Type V-A
Cluster_133	orf148	Broad-spectrum
Cluster_134	AcrIF12	CRISPR-Cas - Type I-F
Cluster_135	AcrIIA30	CRISPR-Cas - Type II-A
Cluster_136	AcrIF18	CRISPR-Cas - Type I-F/I-E
Cluster_137	AcrIIA32	CRISPR-Cas - Type II-A
Cluster_138	darb	RM - Type I
Cluster_139	aca4	CRISPR-Cas - Type I-F;RM
Cluster_140	AcrIE9	CRISPR-Cas - Type I-E
Cluster_141	hdf	RM
Cluster_142	aca13	CRISPR-Cas - Type II-A
Cluster_143	AcrIIC1	CRISPR-Cas - Type II-C
Cluster_144	vcrx092	CRISPR-Cas;DNA repair
Cluster_145	AcrIIA21	CRISPR-Cas - Type II-A
Cluster_146	aca5	CRISPR-Cas - Type I-F
Cluster_147	AcrIE3	CRISPR-Cas - Type I-E
Cluster_148	AcrVIA2_new	CRISPR-Cas - Type VI-A
Cluster_149	AcrIIA33_Seq	CRISPR-Cas - Type II-A
Cluster_150	AcrIF5	CRISPR-Cas - Type I-F
Cluster_151	AcrIA	CRISPR-Cas - Type I-A
Cluster_152	alt	TA - MazEF
Cluster_153	AcrIIA5	CRISPR-Cas - Type II-A
Cluster_154	AcrVIA1_Lwa	CRISPR-Cas - Type VI-A
Cluster_155	AcrIF22	CRISPR-Cas - Type I-F/I-E
Cluster_156	vcrx090	RM
Cluster_157	AcrIIA9	CRISPR-Cas - Type II-A
Cluster_158	AcrVIA5	CRISPR-Cas - Type VI-A
Cluster_159	rexb	TA - Phd-Doc;TA - MazEF
Cluster_160	AcrIF13	CRISPR-Cas - Type I-F
Cluster_161	AcrIIA14	CRISPR-Cas - Type II-A
Cluster_162	gad2	Gabija
